Date,Open,High,Low,Close,Adj Close,Volume
9/1/20,532.599976,557.390015,532.450012,556.549988,556.549988,9572700
9/2/20,553.780029,556.5,537.369995,552.840027,552.840027,5886900
9/3/20,545,554,521.320007,525.75,525.75,9071100
9/4/20,520.179993,527.359985,485.980011,516.049988,516.049988,8270100
9/8/20,498.399994,522,495,507.019989,507.019989,5572700
9/9/20,519.210022,520,492.570007,500.190002,500.190002,6848100
9/10/20,503.350006,506.290009,478.839996,480.670013,480.670013,6240200
9/11/20,486.48999,493.730011,476.809998,482.029999,482.029999,5035200
9/14/20,480.619995,488.98999,471.299988,476.26001,476.26001,7359100
9/15/20,484,497.470001,481.630005,495.98999,495.98999,5337000
9/16/20,499.98999,504.660004,483.309998,483.859985,483.859985,4394900
9/17/20,475.160004,478.399994,463.269989,470.200012,470.200012,5379300
9/18/20,472.51001,479.399994,458.600006,469.959991,469.959991,6717700
9/21/20,467.690002,487.779999,466.320007,487.350006,487.350006,5457500
9/22/20,489.01001,491.820007,479.26001,491.170013,491.170013,3482300
9/23/20,491.040009,491.040009,469,470.609985,470.609985,3726400
9/24/20,470.529999,477,467.820007,473.079987,473.079987,3727200
9/25/20,474.390015,484.869995,468.029999,482.880005,482.880005,3769400
9/28/20,489.109985,492,477.880005,490.649994,490.649994,4773500
9/29/20,489.5,496.290009,486.529999,493.480011,493.480011,3541500
9/30/20,492.570007,504.630005,489.269989,500.029999,500.029999,4634100
10/1/20,506.029999,529.549988,503.600006,527.51001,527.51001,8153700
10/2/20,516.429993,526.369995,502.700012,503.059998,503.059998,6071200
10/5/20,506.799988,520.98999,501.700012,520.650024,520.650024,4088100
10/6/20,518.719971,521.820007,504.160004,505.869995,505.869995,4199000
10/7/20,518,536.48999,515.820007,534.659973,534.659973,7988700
10/8/20,533.47998,535,524.150024,531.789978,531.789978,5386500
10/9/20,537.830017,544.280029,535,539.440002,539.440002,4781300
10/12/20,548.809998,551.809998,538.23999,539.809998,539.809998,5391100
10/13/20,540.559998,557.650024,537.200012,554.090027,554.090027,5602500
10/14/20,562.609985,572.48999,541,541.450012,541.450012,9499000
10/15/20,545.52002,551.219971,535.099976,541.940002,541.940002,5113100
10/16/20,549.5,554.330017,530.030029,530.789978,530.789978,6347400
10/19/20,537.070007,541.799988,525.380005,530.719971,530.719971,7567500
10/20/20,528.140015,533.780029,522.26001,525.419983,525.419983,10047200
10/21/20,501.029999,506.850006,488.25,489.049988,489.049988,17405700
10/22/20,494.690002,495.140015,482,485.230011,485.230011,6997900
10/23/20,488.109985,490.059998,481.350006,488.279999,488.279999,4927900
10/26/20,487.029999,496.820007,478.899994,488.23999,488.23999,6186100
10/27/20,490.01001,490.48999,482.929993,488.929993,488.929993,3627200
10/28/20,486.359985,494,483.279999,486.23999,486.23999,5992700
10/29/20,488.5,513.900024,479.339996,504.209991,504.209991,11120700
10/30/20,502.01001,505.880005,472.209991,475.73999,475.73999,7807900
11/2/20,478.869995,486.299988,475,484.119995,484.119995,4408200
11/3/20,484.929993,495.309998,478.76001,487.220001,487.220001,3690200
11/4/20,495.359985,507.730011,493.980011,496.950012,496.950012,5137300
11/5/20,506.559998,518.72998,503.450012,513.76001,513.76001,5372800
11/6/20,515,515.210022,502.51001,514.72998,514.72998,4236300
11/9/20,485.540009,495.850006,467.26001,470.5,470.5,10419700
11/10/20,470.950012,484.600006,463.410004,480.23999,480.23999,8306100
11/11/20,483,491.679993,478.26001,490.76001,490.76001,5460500
11/12/20,491,496.519989,480.429993,486.769989,486.769989,5063700
11/13/20,486.769989,488.940002,477.799988,482.839996,482.839996,3002700
11/16/20,480,485.579987,477.299988,479.100006,479.100006,3953600
11/17/20,480.119995,487.51001,478.850006,480.630005,480.630005,3698100
11/18/20,481.950012,488.609985,477.720001,481.790009,481.790009,3629200
11/19/20,482,487.799988,480.470001,484.670013,484.670013,2254700
11/20/20,485.220001,494.76001,481.570007,488.23999,488.23999,4253400
11/23/20,490.459991,491.149994,475.839996,476.619995,476.619995,5416600
11/24/20,478.839996,484.049988,475.890015,482.880005,482.880005,3550500
11/25/20,485.130005,486.899994,478.920013,485,485,3598600
11/27/20,486.579987,493.25,481.850006,491.359985,491.359985,2805800
11/30/20,490.079987,492.549988,481.269989,490.700012,490.700012,3530900
12/1/20,492.339996,509.470001,491.980011,504.579987,504.579987,5052700
12/2/20,501.619995,506.799988,493.5,503.380005,503.380005,3028400
12/3/20,502.98999,508.769989,496.040009,497.519989,497.519989,2826100
12/4/20,497.5,504.5,493.640015,498.309998,498.309998,3666200
12/7/20,500.01001,517.76001,497.769989,515.780029,515.780029,4289300
12/8/20,517.900024,521.48999,505.549988,512.659973,512.659973,4229000
