Date,Open,High,Low,Close,Adj Close,Volume
9/1/20,294.709991,301.48999,292.709991,295.440002,295.440002,17295900
9/2/20,298.880005,303.600006,293.049988,302.5,302.5,24341400
9/3/20,295.98999,297.600006,283.630005,291.119995,291.119995,32294100
9/4/20,287.25,289,271.140015,282.730011,282.730011,30333700
9/8/20,271.279999,279.299988,269.420013,271.160004,271.160004,24864000
9/9/20,275.769989,278.480011,271.350006,273.720001,273.720001,22918800
9/10/20,275.51001,279.160004,267.029999,268.089996,268.089996,24814700
9/11/20,270.059998,271.390015,262.640015,266.609985,266.609985,18913900
9/14/20,270.950012,276.640015,265.700012,266.149994,266.149994,24093800
9/15/20,270.670013,274.519989,269.299988,272.420013,272.420013,18478500
9/16/20,267.290009,272.440002,261.790009,263.519989,263.519989,29183400
9/17/20,258.279999,261.5,250.190002,254.820007,254.820007,31281400
9/18/20,258.399994,259.200012,250.050003,252.529999,252.529999,28130800
9/21/20,247.539993,249.949997,244.130005,248.149994,248.149994,24709400
9/22/20,253.309998,255.320007,248.220001,254.75,254.75,30293100
9/23/20,255.259995,257.98999,248.149994,249.020004,249.020004,19641300
9/24/20,246.5,252.240005,245.619995,249.529999,249.529999,20006800
9/25/20,249.399994,255.75,246.610001,254.820007,254.820007,18351300
9/28/20,259.399994,259.600006,254.820007,256.820007,256.820007,18826300
9/29/20,257.809998,263.329987,256.899994,261.790009,261.790009,20200200
9/30/20,261.980011,266.079987,260.100006,261.899994,261.899994,20142500
10/1/20,265.350006,268.329987,264.799988,266.630005,266.630005,20009800
10/2/20,261.209991,265.149994,259.179993,259.940002,259.940002,16367600
10/5/20,262.200012,264.869995,260.839996,264.649994,264.649994,12822300
10/6/20,261.779999,265.690002,258.23999,258.660004,258.660004,18696900
10/7/20,259.209991,260.179993,254.820007,258.119995,258.119995,23133400
10/8/20,259.75,264.619995,259.149994,263.76001,263.76001,16312800
10/9/20,264.519989,264.75,262.170013,264.450012,264.450012,14107800
10/12/20,270.200012,280.179993,267.869995,275.75,275.75,31019300
10/13/20,277.579987,279.100006,273.390015,276.140015,276.140015,18063300
10/14/20,277.619995,278.75,271.5,271.820007,271.820007,15577800
10/15/20,267.600006,269.040009,263.670013,266.720001,266.720001,15416100
10/16/20,267.380005,271.369995,265.299988,265.929993,265.929993,16622700
10/19/20,265.529999,268.549988,259.880005,261.399994,261.399994,13587000
10/20/20,263.059998,269.700012,262.880005,267.559998,267.559998,18763200
10/21/20,279.559998,283.049988,276.369995,278.730011,278.730011,28998600
10/22/20,279.869995,282.450012,275.040009,278.119995,278.119995,16720000
10/23/20,278.799988,285.23999,276.820007,284.790009,284.790009,17535200
10/26/20,283.160004,285.230011,274.26001,277.109985,277.109985,21322900
10/27/20,278.76001,284.51001,276.309998,283.290009,283.290009,16287200
10/28/20,278.790009,278.790009,267.26001,267.670013,267.670013,23121800
10/29/20,276.549988,283.600006,273.779999,280.829987,280.829987,32368100
10/30/20,274.5,276.700012,259.100006,263.109985,263.109985,47247800
11/2/20,264.600006,270.470001,257.339996,261.359985,261.359985,27165700
